Name,Position,Nationality,Seasons,Schools,Height,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG,Turnovers,Class
Anthony Davis,PF/C,American,1,Kentucky,6'10,40,40,32,0.623,0.15,0.709,10.4,1.3,1.3,4.7,14.2,,
Michael Kidd-Gilchrist,SF,American,1,Kentucky,6'7,40,39,31.1,0.491,0.255,0.745,7.4,1.9,1,0.9,11.9,,
Bradley Beal,SG,American,1,Florida,6'5,37,37,34.2,0.445,0.339,0.769,6.7,2.2,1.4,0.8,14.8,,
Dion Waiters,SG,American,2,Syracuse Orange,6'4,71,0,20.2,0.444,0.346,0.771,1.95,2,1.5,0.2,9.6,,
Thomas Robinson,PF,American,3,Kansas,6'10,105,42,17.9,0.53,0.5,0.529,7,0.9,0.6,0.7,9.3,,
Damian Lillard,PG,American,4,Weber State,6'3,104,98,31.7,0.443,0.38,0.86,4.2,3.5,1.3,0.2,18.4,,
Harrison Barnes,SF,American,2,North Carolina,6'8,75,73,29.3,0.432,0.351,0.737,5.5,1.3,0.9,0.4,16.4,,
Terrence Ross,SG,American,2,Washington,6'7,69,39,24.3,0.45,0.362,0.762,4.6,1.2,1,0.7,12.2,,
Andre Drummond,C,American,1,Connecticut,6'11,34,30,28.4,0.538,0,0.295,7.6,0.4,0.8,2.7,10,,
Austin Rivers,SG,American,1,Duke,6'4,34,33,33.2,0.433,0.365,0.658,3.4,2.1,1,0,15.5,,
Meyers Leonard,C,American,2,Illinois,7'1,65,31,20,0.534,0.91,0.719,4.7,0.8,0.4,1.2,7.9,,
Jeremy Lamb,SG,American,2,Connecticut,6'5,75,74,33,0.483,0.352,0.803,4.7,1.7,1.1,0.6,14.4,,
Kendall Marshall,PG,American,2,North Carolina,6'4,73,56,28.8,0.444,0.37,0.693,2.4,8,1.2,0.2,7.2,,
John Henson,PF,American,3,North Carolina,6'11,109,82,23.9,0.495,0.13,0.477,8.1,1,0.6,2.4,10.37,,
Maurice Harkless,SF,American/Puerto Rican,1,St. John's,6'9,32,32,36.1,0.452,0.215,0.676,8.6,1.5,1.6,1.4,15.5,,
Royce White,PF,American,1,Cyclones,6'8,34,33,31.5,0.534,0.333,0.498,9.3,5,1.2,0.9,13.4,,
Tyler Zeller,C,American,4,North Carolina,7'0,117,75,20.4,0.523,0,0.764,11.2,1,1.1,1.5,20.8,,
Terrence Jones,PF,American,2,Kentucky,6'9,76,69,30.4,0.471,0.328,0.637,8,1.5,1.2,1.9,14,,
Andrew Nicholson,PF,Canadian,4,St. Bonaventure,6'9,123,118,29.8,0.577,0.348,0.715,7.2,0.7,0.5,2,17.1,,
Evan Fournier*,SG,French,,,,,,,,,,,,,,,,
Jared Sullinger,PF,American,2,Ohio State,6'9,74,73,31.1,0.53,0.325,0.736,9.7,1.2,1.1,0.8,17.4,,
Fab Melo,C,Brazilian,2,Syracuse,7'1,63,54,17.7,0.587,0,0.497,3.9,0.5,0.8,1.9,5.1,,
John Jenkins,SG,American,3,Vanderbilt,6'4,98,74,30.4,0.469,0.443,0.843,2.7,1.1,2.1,0.3,16.8,,
