,Name,Position,Nationality,School,Height,PPG,FG%,APG,RPG,BPG,Turnovers,Class
,Jun Mar Fajardo,Center,Filipino,UC,6'10,,,,,,,
,Calvin Abueva,Forward,Filipino,San Sebastian,6'3,,,,,,,
,Alex Mallari,Guard/Forward,US,Lewis-Clark State,6'4,,,,,,,
,Cliff Hodge,Forward,US,Reedley College,6'4,,,,,,,
,Aldrech Ramos,Forward,Filipino,FEU,6'6,,,,,,,
,Chris Ellis,Forward,US,Mary-Hardin Baylor,6'4,,,,,,,
,Chris Tiu,Guard,FIlipino,Ateneo,5'11,,,,,,,
,Keith Jensen,Forward,US,New York,6'4,,,,,,,
,Vic Manuel,Forward,Filipino,PSBA,6'4,,,,,,,
,Jason Deutchman,Forward/Guard,US,San Diego State,6'6,,,,,,,
,Yousef Taha,Center/Forward,Filipino,North Lake/Mapua,6'7,,,,,,,
,Dave Marcelo,Forward/Center,Filipino,San Beda,6'5,,,,,,,
,Jewel Ponferada,Center,Filipino,NU,6'5,,,,,,,
,AJ Mandani,Guard,Canada,Missouri S&T,5'11,,,,,,,
,Lester Alvarez,Guard,Filipino,Adamson,5'9,,,,,,,
,Emman Monfort,Guard,Filipino,Ateneo,5'6,,,,,,,
,Kelly Nabong,Forward,Filipino,Santa Rosa JC,6'5,,,,,,,
,Woody Co,Forward,Filipino,UP,6'3,,,,,,,
,Raphy Reyes,Guard,Filipino,UE,5'10,,,,,,,
,Jaypee Belencion,Guard/Forward,Filipino,Letran,6'3,,,,,,,
,Simon Atkins,Guard,FIlipino,DLSU,5'11,,,,,,,
,Karl Dehesa,Guard/Forward,US,Waldford,6'3,,,,,,,
,Ryan Boado,Guard,US,Houston,6'1,,,,,,,
,Janus Lozado,Guard/Forward,Filipino,Adamson,6'2,,,,,,,
,Mark Sarangay,Forward/Center,Filipino,Mapua,6'6,,,,,,,
,Mark Acosta,Forward/Center,Filipino,Mapua,6'3,,,,,,,
,Raymond Austria,Guard/Forward,Filipino,Ateneo,6'1,,,,,,,
,Jerick Canada,Guard,Filipino,Adamson,5'7,,,,,,,
,Gian Chiu,Center,US,Oberlin,6'7,,,,,,,
,Jason Escueta,Forward/Center,Filipino,Ateneo,6'5,,,,,,,
,Kokoy Hermosisima,Guard,Filipino,NU,6'6,,,,,,,
,Eric Suguitan,Center,Filipino,ACSAT,6'8,,,,,,,
,Jan Colina,Forward,Filipino,Adamson,6'2,,,,,,,
,Jewel Palomique,Guard,Filipino,Mapua,5'10,,,,,,,
,Paul Zamar,Guard,Filipino,UE,5'10,,,,,,,
,Ramon Mabayo,Guard,Filipino,STI,6'4,,,,,,,
,VJ Serios,Forward,Filipino,UP,6'5,,,,,,,
,JR Buensoceso,Guard,US,Brigham Young-Hawaii,5'7,,,,,,,
,Elliot Tan,Guard,US,Biola,5'4,,,,,,,
