Name,Position,Nationality,School,Height,PPG,FG%,APG,RPG,BPG,Turnovers,Class
Greg Slaughter,Center,US,Ateneo,,,,,,,,
Ian Sangalang,"PForward,Center",Filipino,San Sebastian,,,,,,,,
Raymond Almazan,"PForward,Center",Filipino,Letran,,,,,,,,
James Forrester,SGuard,Canada,Arellano,,,,,,,,
Terrence Romeo,PGuard,Filipino,FEU,,,,,,,,
RR Garcia,PGuard,Filipino,FEU,,,,,,,,
Isaac Holstein,Center,US,West Virginia State,,,,,,,,
Ryan Buenafe,SGuard,Filipino,Ateneo,,,,,,,,
Alex Nuyles,SGuard,Filipino,Adamson,,,,,,,,
Justin Chua,Center,Filipino,Ateneo,,,,,,,,
Nico Salva,SForward,Filipino,Ateneo,,,,,,,,
Jeric Teng,SGuard,Filipino,UST,,,,,,,,
Justin Melton,PGuard,US,Mount Olive,,,,,,,,
Jeric Fortuna,PGuard,Filipino,UST,,,,,,,,
John Paul Erram,Center,Filipino,Ateneo,,,,,,,,
Eric Camson,SForward,Filipino,Adamson,,,,,,,,
Robby Celiz,SForward,Filipino,NU,,,,,,,,
Chris Exciminiano,SGuard,Filipino,FEU,,,,,,,,
Gayford Rodriguez,SGuard,Filipino,UV,,,,,,,,
Carlo Lastimosa,PGuard,Filipino,Saint Benilde,,,,,,,,
Joshua Webb,"SGuard,SForward",Filipino,DLSU,,,,,,,,
Jopher Custodio,SGuard,Filipino,MLQU,,,,,,,,
Darwin Cordero,PGuard,Filipino,Southern City,,,,,,,,
LA Revilla,PGuard,Filipino,DLSU,,,,,,,,
Sam Marata,SGuard,Filipino,UP,,,,,,,,
Anjo Caram,PGuard,Filipino,San Beda,,,,,,,,
Eliud Poligrates,SGuard,Filipino,SWU,,,,,,,,
Raymond Ilagan,SForward,Filipino,St. Francis,,,,,,,,
Ervic Vijandre,SGuard,Filipino,DLSU,,,,,,,,
JR Cawaling,SForward,Filipino,FEU,,,,,,,,
Angelo Inco,PGuard,Filipino,San Beda,,,,,,,,
Jett Vidal,SGuard,Filipino,UPHSD,,,,,,,,
John Usita,Center,US,Shoreline Community,,,,,,,,
Nate Matute,SGuard,US,JRU,,,,,,,,
Mike Parala,PForward,Filipino,Mapua,,,,,,,,
Chris Sumalinog,SGuard,Filipino,Ateneo,,,,,,,,
Randolph Chua,PGuard,Filipino,Saint Benilde,,,,,,,,
Mike Silungan,SGuard,US,UP,,,,,,,,
Alvin Padilla,SGuard,Filipino,UP,,,,,,,,
Mark Lopez,PGuard,Filipino,UP,,,,,,,,
Bryan Villarias,PGuard,Filipino,JRU,,,,,,,,
Jens Knuttel,PGuard,Germany,FEU,,,,,,,,
Ron Guevarra,PGuard,Filipino,St. Francis,,,,,,,,
Mark Bringas,PForward,Filipino,FEU,,,,,,,,
